ID,Index1,Index2,Index3,Index4,Index5,Index6,Index7,Index8,Index9,Index10,Index11,Index12,Index13,Index14,Index15,Index16,Index17,Index18,Index19
118,-0.007127323,,,,,,,,,,,,,,,,,,
119,0.004225958,,,,,,,,,,,,,,,,,,
120,0.001221173,,,,,,,,,,,,,,,,,,
121,-0.015780304,,,,,,,,,,,,,,,,,,
122,-0.001992208,,,,,,,,,,,,,,,,,,
123,-0.009035475,,,,,,,,,,,,,,,,,,
124,0.000896302,,,,,,,,,,,,,,,,,,
125,-0.005296355,,,,,,,,,,,,,,,,,,
126,-0.012062502,,,,,,,,,,,,,,,,,,
127,0.006153935,,,,,,,,,,,,,,,,,,
128,0.006203916,,,,,,,,,,,,,,,,,,
129,-0.008188591,,,,,,,,,,,,,,,,,,
130,0.012969821,,,,,,,,,,,,,,,,,,
131,-0.000433492,,,,,,,,,,,,,,,,,,
132,0.007874472,,,,,,,,,,,,,,,,,,
133,-0.009199663,,,,,,,,,,,,,,,,,,
134,-0.007933799,,,,,,,,,,,,,,,,,,
135,0.006314142,,,,,,,,,,,,,,,,,,
136,0.017131788,,,,,,,,,,,,,,,,,,
137,0.013430681,,,,,,,,,,,,,,,,,,
138,0.018026894,,,,,,,,,,,,,,,,,,
139,0.010862178,,,,,,,,,,,,,,,,,,
140,0.021317914,,,,,,,,,,,,,,,,,,
141,-0.007942267,,,,,,,,,,,,,,,,,,
142,0.021247037,,,,,,,,,,,,,,,,,,
143,0.01620694,,,,,,,,,,,,,,,,,,
144,-0.006795439,,,,,,,,,,,,,,,,,,
145,0.004101644,,,,,,,,,,,,,,,,,,
146,-0.015270646,,,,,,,,,,,,,,,,,,
147,-0.009629333,,,,,,,,,,,,,,,,,,
148,0.007343431,,,,,,,,,,,,,,,,,,
149,0.014447178,,,,,,,,,,,,,,,,,,
150,0.010194775,,,,,,,,,,,,,,,,,,
151,-0.005680456,,,,,,,,,,,,,,,,,,
152,0.004558202,,,,,,,,,,,,,,,,,,
153,0.010025735,,,,,,,,,,,,,,,,,,
